data folder: data/ready/nerc/conll2012/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 0

1.train    L 0.228     acc [B 63.79 E 63.31 O 98.55 T 93.72]   B [P 84.13 R 83.80 F1 83.97]   E [P 69.68 R 76.65 F1 73.00]   EC [P 55.25 R 60.77 F1 57.88]
1.val      L 0.241     acc [B 61.57 E 61.27 O 98.51 T 93.46]   B [P 83.53 R 83.11 F1 83.32]   E [P 68.91 R 75.98 F1 72.27]   EC [P 53.27 R 58.74 F1 55.87]

2.train    L 0.184     acc [B 71.22 E 70.94 O 98.73 T 94.92]   B [P 86.90 R 87.33 F1 87.12]   E [P 73.67 R 81.26 F1 77.28]   EC [P 62.05 R 68.44 F1 65.09]
2.val      L 0.198     acc [B 68.41 E 68.42 O 98.68 T 94.58]   B [P 86.25 R 86.25 F1 86.25]   E [P 72.27 R 79.81 F1 75.86]   EC [P 59.58 R 65.80 F1 62.54]

3.train    L 0.165     acc [B 74.78 E 74.63 O 98.72 T 95.41]   B [P 87.66 R 88.47 F1 88.07]   E [P 76.76 R 83.29 F1 79.89]   EC [P 66.47 R 72.12 F1 69.18]
3.val      L 0.182     acc [B 72.09 E 72.26 O 98.66 T 95.08]   B [P 86.81 R 87.42 F1 87.11]   E [P 75.44 R 82.10 F1 78.63]   EC [P 64.09 R 69.75 F1 66.80]

4.train    L 0.155     acc [B 77.03 E 76.37 O 98.80 T 95.72]   B [P 87.80 R 89.87 F1 88.82]   E [P 77.31 R 84.81 F1 80.89]   EC [P 67.91 R 74.49 F1 71.05]
4.val      L 0.174     acc [B 73.88 E 73.39 O 98.75 T 95.31]   B [P 87.10 R 88.51 F1 87.80]   E [P 76.32 R 83.46 F1 79.73]   EC [P 65.67 R 71.81 F1 68.60]

5.train    L 0.145     acc [B 78.10 E 77.98 O 98.85 T 95.98]   B [P 88.68 R 90.21 F1 89.44]   E [P 78.58 R 85.63 F1 81.96]   EC [P 69.51 R 75.75 F1 72.50]
5.val      L 0.165     acc [B 75.08 E 74.81 O 98.78 T 95.53]   B [P 87.57 R 88.95 F1 88.25]   E [P 77.16 R 84.31 F1 80.58]   EC [P 66.73 R 72.91 F1 69.68]

6.train    L 0.138     acc [B 78.20 E 78.46 O 98.95 T 96.14]   B [P 89.66 R 89.60 F1 89.63]   E [P 80.06 R 85.33 F1 82.62]   EC [P 71.32 R 76.01 F1 73.59]
6.val      L 0.161     acc [B 74.91 E 75.04 O 98.89 T 95.66]   B [P 88.54 R 88.13 F1 88.33]   E [P 78.36 R 83.52 F1 80.85]   EC [P 68.31 R 72.81 F1 70.49]

7.train    L 0.134     acc [B 79.95 E 80.54 O 98.78 T 96.27]   B [P 89.35 R 90.37 F1 89.86]   E [P 79.95 R 86.30 F1 83.01]   EC [P 72.14 R 77.87 F1 74.89]
