data folder: data/ready/pos/wsj/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 0

1.train    L 0.214     acc 93.00
1.val      L 0.212     acc 93.11

2.train    L 0.163     acc 94.61
2.val      L 0.167     acc 94.57

3.train    L 0.141     acc 95.31
3.val      L 0.145     acc 95.22

4.train    L 0.128     acc 95.69
4.val      L 0.133     acc 95.62

5.train    L 0.119     acc 95.96
5.val      L 0.126     acc 95.80

6.train    L 0.114     acc 96.15
6.val      L 0.121     acc 95.97

7.train    L 0.109     acc 96.31
7.val      L 0.116     acc 96.12

8.train    L 0.105     acc 96.42
8.val      L 0.114     acc 96.21

9.train    L 0.103     acc 96.48
9.val      L 0.112     acc 96.18

10.train    L 0.099    acc 96.61
10.val      L 0.108    acc 96.36

11.train    L 0.096    acc 96.68
11.val      L 0.107    acc 96.40

12.train    L 0.094    acc 96.78
12.val      L 0.104    acc 96.53

13.train    L 0.093    acc 96.80
13.val      L 0.103    acc 96.52

14.train    L 0.090    acc 96.88
14.val      L 0.102    acc 96.58

15.train    L 0.090    acc 96.88
15.val      L 0.102    acc 96.57

16.train    L 0.088    acc 96.96
16.val      L 0.099    acc 96.68

17.train    L 0.087    acc 97.01
17.val      L 0.099    acc 96.66

18.train    L 0.086    acc 97.02
18.val      L 0.098    acc 96.69

19.train    L 0.084    acc 97.07
19.val      L 0.097    acc 96.70

20.train    L 0.084    acc 97.07
20.val      L 0.097    acc 96.73

21.train    L 0.083    acc 97.12
21.val      L 0.097    acc 96.74

22.train    L 0.082    acc 97.14
22.val      L 0.096    acc 96.77

23.train    L 0.081    acc 97.18
23.val      L 0.095    acc 96.80

24.train    L 0.080    acc 97.19
24.val      L 0.094    acc 96.81

25.train    L 0.079    acc 97.25
25.val      L 0.093    acc 96.88

26.train    L 0.079    acc 97.23
26.val      L 0.094    acc 96.84

27.train    L 0.078    acc 97.28
27.val      L 0.092    acc 96.86

28.train    L 0.078    acc 97.27
28.val      L 0.094    acc 96.83

29.train    L 0.077    acc 97.30
29.val      L 0.093    acc 96.89

30.train    L 0.077    acc 97.32
30.val      L 0.092    acc 96.85

31.train    L 0.076    acc 97.35
31.val      L 0.092    acc 96.89

32.train    L 0.075    acc 97.36
32.val      L 0.091    acc 96.91

33.train    L 0.075    acc 97.37
33.val      L 0.091    acc 96.88

34.train    L 0.074    acc 97.40
34.val      L 0.091    acc 96.89

35.train    L 0.074    acc 97.39
35.val      L 0.090    acc 96.92

36.train    L 0.073    acc 97.43
36.val      L 0.090    acc 96.97

37.train    L 0.073    acc 97.44
37.val      L 0.090    acc 96.98

38.train    L 0.072    acc 97.45
38.val      L 0.090    acc 96.96

39.train    L 0.072    acc 97.48
39.val      L 0.089    acc 96.96

40.train    L 0.072    acc 97.48
40.val      L 0.090    acc 96.98

41.train    L 0.071    acc 97.49
41.val      L 0.089    acc 96.93

42.train    L 0.071    acc 97.50
42.val      L 0.089    acc 96.97

43.train    L 0.071    acc 97.50
43.val      L 0.089    acc 96.94

44.train    L 0.070    acc 97.53
44.val      L 0.089    acc 96.99

45.train    L 0.070    acc 97.53
45.val      L 0.089    acc 96.97

46.train    L 0.069    acc 97.55
