data folder: data/ready/pos/wsj/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 1

1.train    L 4.928     acc 92.92
1.val      L 4.862     acc 93.11

2.train    L 3.717     acc 94.70
2.val      L 3.751     acc 94.66

3.train    L 3.207     acc 95.41
3.val      L 3.299     acc 95.25

4.train    L 2.955     acc 95.70
4.val      L 3.058     acc 95.59

5.train    L 2.741     acc 96.04
5.val      L 2.870     acc 95.88

6.train    L 2.612     acc 96.22
6.val      L 2.753     acc 96.08

7.train    L 2.497     acc 96.37
7.val      L 2.660     acc 96.15

8.train    L 2.408     acc 96.47
8.val      L 2.586     acc 96.30

9.train    L 2.370     acc 96.56
9.val      L 2.570     acc 96.35

10.train    L 2.296    acc 96.64
10.val      L 2.502    acc 96.38

11.train    L 2.223    acc 96.71
11.val      L 2.437    acc 96.41

12.train    L 2.210    acc 96.76
12.val      L 2.431    acc 96.47

13.train    L 2.172    acc 96.78
13.val      L 2.415    acc 96.45

14.train    L 2.118    acc 96.87
14.val      L 2.353    acc 96.57

15.train    L 2.101    acc 96.90
15.val      L 2.354    acc 96.56

16.train    L 2.057    acc 96.93
16.val      L 2.325    acc 96.55

17.train    L 2.026    acc 96.99
17.val      L 2.292    acc 96.63

18.train    L 1.999    acc 97.02
18.val      L 2.271    acc 96.65

19.train    L 1.965    acc 97.08
19.val      L 2.247    acc 96.70

20.train    L 1.954    acc 97.09
20.val      L 2.251    acc 96.69

21.train    L 1.938    acc 97.11
21.val      L 2.229    acc 96.74

22.train    L 1.922    acc 97.13
22.val      L 2.221    acc 96.77

23.train    L 1.902    acc 97.16
23.val      L 2.204    acc 96.77

24.train    L 1.882    acc 97.19
24.val      L 2.193    acc 96.80

25.train    L 1.862    acc 97.22
25.val      L 2.178    acc 96.85

26.train    L 1.850    acc 97.23
26.val      L 2.193    acc 96.80

27.train    L 1.840    acc 97.23
27.val      L 2.173    acc 96.83

28.train    L 1.828    acc 97.27
28.val      L 2.185    acc 96.83

29.train    L 1.794    acc 97.30
29.val      L 2.145    acc 96.84

30.train    L 1.790    acc 97.30
30.val      L 2.153    acc 96.86

31.train    L 1.777    acc 97.33
31.val      L 2.130    acc 96.89

32.train    L 1.763    acc 97.34
32.val      L 2.137    acc 96.87

33.train    L 1.756    acc 97.35
33.val      L 2.134    acc 96.89

34.train    L 1.744    acc 97.38
34.val      L 2.115    acc 96.93

35.train    L 1.734    acc 97.39
35.val      L 2.116    acc 96.90

36.train    L 1.721    acc 97.39
36.val      L 2.113    acc 96.88

37.train    L 1.718    acc 97.42
37.val      L 2.103    acc 96.96

38.train    L 1.695    acc 97.46
38.val      L 2.094    acc 96.96

39.train    L 1.693    acc 97.46
39.val      L 2.100    acc 96.95

40.train    L 1.683    acc 97.47
40.val      L 2.094    acc 96.95

41.train    L 1.683    acc 97.46
41.val      L 2.082    acc 96.97

42.train    L 1.673    acc 97.45
42.val      L 2.096    acc 96.94

43.train    L 1.667    acc 97.47
43.val      L 2.092    acc 96.97

44.train    L 1.654    acc 97.50
44.val      L 2.077    acc 96.97

45.train    L 1.640    acc 97.53
45.val      L 2.074    acc 97.00

46.train    L 1.643    acc 97.53
46.val      L 2.068    acc 97.00

47.train    L 1.639    acc 97.52
47.val      L 2.065    acc 97.00

48.train    L 1.624    acc 97.56
48.val      L 2.063    acc 97.01

49.train    L 1.616    acc 97.55
49.val      L 2.052    acc 97.03

50.train    L 1.613    acc 97.57
50.val      L 2.071    acc 96.97

51.train    L 1.606    acc 97.57
51.val      L 2.056    acc 97.03

52.train    L 1.603    acc 97.57
52.val      L 2.050    acc 97.04

53.train    L 1.594    acc 97.58
53.val      L 2.047    acc 97.04

54.train    L 1.589    acc 97.60
54.val      L 2.041    acc 97.05

55.train    L 1.585    acc 97.60
55.val      L 2.045    acc 97.03

56.train    L 1.573    acc 97.61
56.val      L 2.046    acc 97.03

57.train    L 1.580    acc 97.61
57.val      L 2.041    acc 97.06

58.train    L 1.564    acc 97.65
58.val      L 2.042    acc 97.06

59.train    L 1.564    acc 97.64
59.val      L 2.050    acc 97.05

60.train    L 1.554    acc 97.64
60.val      L 2.032    acc 97.05

61.train    L 1.554    acc 97.65
61.val      L 2.040    acc 97.06

